timestamp,states,source
264,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",SUMO
278,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",SUMO
292,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",SUMO
306,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",SUMO
320,"[0.35935867, 0.26862943, 0.043560684, 0.015781578, 0.040696777, 0.08932835, 0.13637987, 0.29517287, 0.4472464, 0.9147524, 0.19591913, -0.043275848, -0.039476626, -0.022532867, 0.09130666, 0.019164424, 0.009012725, -0.019801835, -0.01008486, 0.08470799, 0.5372194, 0.2092923, 0.07415618, 0.0033738632, -0.00583864, 0.011253346, 0.09797315, 0.08545484, 0.12800528, 0.8147115, 0.15230566, 0.037062623, -0.013838548, 0.002338875, -0.042030223, -0.0531915, -0.022515267, 0.010645045, 0.070951924, 0.0013234392, 0.29479885, 0.14140832, 0.056462225, 0.08722186, 0.061880395, 0.051827744, -0.017867671, 0.19736792, 0.712085, 0.7368736, 0.018046483, 0.031195704, -0.0053218976, 0.02249059, 0.028127635, -0.0034859912, -0.021563591, -0.011695176, 0.014567563, 0.096149884, 0.42621666, 0.06792179, 0.005371902, -0.10686476, 0.017731115, 0.13227445, 0.15345076, 0.110684946, 0.15496503, 0.5891874, 0.058993682, 0.1283951, 0.086162955, -0.009548012, -0.036246356, 0.004634909, 0.064199135, 0.055908997, 0.12596156, -0.0020246506]",BiLSTM
330,"[0.59613764, 0.3141586, 0.01655731, -0.01895649, 0.034348108, 0.07530094, 0.057168946, 0.14631543, 0.7422103, 0.52692264, 0.25623816, 0.0036976933, -0.010940984, -0.07060822, -0.013241371, -0.02872281, -0.008861886, 0.014870765, 0.11645578, 0.12333053, 0.4436607, 0.21921724, 0.05461315, 0.010845579, -0.011509433, -0.006913241, 0.05581547, 0.066572815, 0.5873179, 0.43170184, 0.04513383, -0.028001335, -0.03372184, 0.040170927, 0.024276279, -0.0111879455, -0.009381454, 0.014458753, 0.065854885, -0.014513299, 0.48378274, 0.15963334, 0.019385902, 0.07154883, 0.124875695, 0.14707233, 0.10510004, 0.23444682, 0.75042397, 0.5481015, 0.094959125, 0.08286159, -0.017624043, 0.011008471, 0.03674546, 0.046652406, 0.044368893, -0.012431771, -0.025621152, 0.28153265, 0.29521543, 0.05331395, -0.020486832, -0.10203905, 0.026635773, 0.14864238, 0.19063425, 0.09618826, 0.11557083, 0.7649544, 0.059628353, 0.08641514, 0.040184394, 0.05466224, 0.016586874, -0.01104809, 0.008335029, 0.014929306, 0.063200705, 0.05014962]",BiLSTM
340,"[0.6243452, 0.3732472, 0.0627777, -0.03566345, -0.01421592, 0.047855396, 0.01616952, 0.1168749, 0.8078114, 0.28354648, 0.31683642, -0.050277725, -0.044707835, -0.027975107, 0.048643097, 0.02323781, 0.023514878, -0.001077916, 0.06367567, 0.12634209, 0.33506215, 0.25589344, 0.10554255, -3.3451244e-05, -0.031533163, -0.018973071, 0.037083346, 0.011001412, 0.8146507, 0.6215506, -0.022908725, -0.06764591, -0.042911608, 0.03341459, 0.05251714, 0.008052318, -0.012417711, -0.0016187183, 0.11377345, -0.10308646, 0.5553772, 0.2108143, 0.0824922, 0.036586992, 0.06842539, 0.111267224, 0.15841065, 0.33524033, 0.34908304, 0.6019632, 0.08467887, -0.013931181, -0.10176449, -0.028279498, 0.034920312, 0.034891978, 0.0540784, -0.0072999224, -0.03236478, 0.14060037, 0.21630538, 0.07609721, 0.013822615, -0.12040482, 0.018000811, 0.100341976, 0.09967786, 0.081757724, 0.39766383, 0.36860633, 0.097013846, 0.04088985, 0.009589169, 0.021348838, 0.0044003576, 0.04243785, 0.06490456, 0.004566843, 0.042167597, 0.32131252]",BiLSTM
354,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",SUMO
368,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",SUMO
382,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",SUMO
